Title	URL	Assignees	Status	Sprint	Card Type	Time Estimate
Add CI for automated testing using GITHub actions	https://github.com/PetPamper/PetPamper/issues/5	Chocolat2, chtidaba	Done in “Sprint 1”	Sprint 1	Task	
Create project template	https://github.com/PetPamper/PetPamper/issues/6	Chocolat2, chtidaba	Done in “Sprint 1”	Sprint 1	Task	
Set up project	https://github.com/PetPamper/PetPamper/issues/4	Chocolat2, chtidaba, Ppppfff, Shinsaegae	Done in “Sprint 1”	Sprint 1	EPIC	
Create the Figma project for the app	https://github.com/PetPamper/PetPamper/issues/3	chtidaba, karinerafla	Done in “Sprint 1”	Sprint 1	Task	
Draw Architecture Design for App	https://github.com/PetPamper/PetPamper/issues/8	karinerafla	Done in "Sprint 2"	Sprint 2	Task	
Figma of Login and SignUp as a groomer and password recovering by e-mail	https://github.com/PetPamper/PetPamper/issues/20	B6Amine	Done in "Sprint 2"	Sprint 2	Task	
Figma for Profile menu		karinerafla	Done in "Sprint 2"	Sprint 3	Task	
Figma for Home Screen		chtidaba, karinerafla	Done in "Sprint 2"	Sprint 3	Task	
Figma Sign in, sign Up, Groomer Screen with all the workflow		chtidaba	Done in "Sprint 2"	Sprint 3	Task	
Don't forget to pass the CI and make test with test coverage > 80%	https://github.com/PetPamper/PetPamper/issues/16	B6Amine, Chocolat2, chtidaba, MaximeZmt, MJChku, Shinsaegae	Done in "Sprint 3"	Sprint 3	Task	
Write a nice ReadMe for Milestone 1	https://github.com/PetPamper/PetPamper/issues/19	karinerafla	Done in "Sprint 3"	Sprint 3	Task	
Review others code, and improve style, logic and limit cases like password with more 8 caracters, email checker when sign up, phone Number country code etc	https://github.com/PetPamper/PetPamper/issues/15	chtidaba, Shinsaegae	Done in "Sprint 3"	Sprint 3	Task	
implement the groomer profile on figma asap	https://github.com/PetPamper/PetPamper/issues/29	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
implement the Map screen	https://github.com/PetPamper/PetPamper/issues/40	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
link up Google Maps SDK	https://github.com/PetPamper/PetPamper/issues/39	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
implement the navigation bar	https://github.com/PetPamper/PetPamper/issues/27	chtidaba	Done in "Sprint 4"	Sprint 4	Task	8h+ (Too long, shoud be broken down)
Implement the pet data class	https://github.com/PetPamper/PetPamper/issues/37	Chocolat2	Done in "Sprint 4"	Sprint 4	Task	2h-4h
A user can sign up as a groomer, (No figma provided yet, ok if it's not finished by milestone1 )	https://github.com/PetPamper/PetPamper/issues/41	Shinsaegae	Done in "Sprint 4"	Sprint 4	Task	8h+ (Too long, shoud be broken down)
change the pet pamper logo at launch	https://github.com/PetPamper/PetPamper/issues/46	chtidaba	Done in "Sprint 4"	Sprint 4	Task	<1h
Implement Groomer page with  review screen	https://github.com/PetPamper/PetPamper/issues/35	chtidaba	Done in "Sprint 4"	Sprint 4	Task	6h-8h
Implement the Groomer Data Class	https://github.com/PetPamper/PetPamper/issues/42	chtidaba	Done in "Sprint 4"	Sprint 4	Task	<1h
add edit profile button on profile and for profile pic	https://github.com/PetPamper/PetPamper/issues/62	karinerafla	Done in "Sprint 6"	Sprint 6	Task	2h-4h
figma for messages	https://github.com/PetPamper/PetPamper/issues/61	karinerafla	Done in "Sprint 6"	Sprint 6	Task	2h-4h
Do A little Home Screen With Welcome Username for registered users	https://github.com/PetPamper/PetPamper/issues/14	chtidaba	Done in "Sprint 3"	Sprint 3	Task	
Implement register functionality, and the main screen HomeScreen : made checks on inputs such as email, name, password etc, user can now login		chtidaba	Done in "Sprint 3"	Sprint 3	Task	
Implement all the workflow if forget password, if a user tap forget password, it sends an email to the email given and its sends a link to modify the email		B6Amine	Done in "Sprint 3"	Sprint 3	Task	
user can signIn using google authentificator and fill the additional information, which creates a user instance	https://github.com/PetPamper/PetPamper/issues/12	karinerafla	Done in "Sprint 3"	Sprint 3	Task	
Implemented the nominatim api and intergrated it to all the registration screens, now it propose the address when typing and fetches the latitude and longitude		chtidaba	Done in "Sprint 5"	Sprint 5	Task	6h-8h
made the groomer composable fetch groomers that are 10 km nearby with all their infos, and profile picture		chtidaba	Done in "Sprint 5"	Sprint 5	Task	8h+ (Too long, shoud be broken down)
