Title	URL	Assignees	Status	Sprint	Card Type	Time Estimate
Add CI for automated testing using GITHub actions	https://github.com/PetPamper/PetPamper/issues/5	Chocolat2, chtidaba	Done in “Sprint 1”	Sprint 1	Task	
Create project template	https://github.com/PetPamper/PetPamper/issues/6	Chocolat2, chtidaba	Done in “Sprint 1”	Sprint 1	Task	
Set up project	https://github.com/PetPamper/PetPamper/issues/4	Chocolat2, chtidaba, Ppppfff, Shinsaegae	Done in “Sprint 1”	Sprint 1	EPIC	
Create the Figma project for the app	https://github.com/PetPamper/PetPamper/issues/3	chtidaba, karinerafla	Done in “Sprint 1”	Sprint 1	Task	
As a user I want to be able to make a reservation with a groomer in his available hours, and get the reservation appear in the home screen and get a confirmation email			Sprint Backlog			
As a user I want to be able to start a conversation in the chat with a another user (for now)			Sprint Backlog			
As a groomer I want to be able add my available hours when I log in in the groomer interface			Sprint Backlog			
as a user I wanna be able to modify my account informations from the profile screen			Sprint Backlog			
As a user, I wanna be able to modify my location from the topbar in the groomer composable			Sprint Backlog			
As a user, I want to be able to edit my profile			Product Backlog		User Story	
As a user, I want to able to navigate through the different menus/screens			Product Backlog		User Story	
As a user, I want to be able to see the different Groomers.			Product Backlog		User Story	
As a user, I want to be able to see the different groomers displayed on a map			Product Backlog		User Story	
As a groomer, I want to be able to see my profile			Product Backlog		User Story	
As a groomer, I want to be able to edit my profile/info			Product Backlog		User Story	
As a user, I want to be able to contact a groomer			Product Backlog		User Story	
Draw Architecture Design for App	https://github.com/PetPamper/PetPamper/issues/8	karinerafla	Done in "Sprint 2"	Sprint 2	Task	
Figma of Login and SignUp as a groomer and password recovering by e-mail	https://github.com/PetPamper/PetPamper/issues/20	B6Amine	Done in "Sprint 2"	Sprint 2	Task	
Figma for Profile menu		karinerafla	Done in "Sprint 2"	Sprint 3	Task	
Figma for Home Screen		chtidaba, karinerafla	Done in "Sprint 2"	Sprint 3	Task	
Figma Sign in, sign Up, Groomer Screen with all the workflow		chtidaba	Done in "Sprint 2"	Sprint 3	Task	
Don't forget to pass the CI and make test with test coverage > 80%	https://github.com/PetPamper/PetPamper/issues/16	B6Amine, Chocolat2, chtidaba, MaximeZmt, MJChku, Shinsaegae	Done in "Sprint 3"	Sprint 3	Task	
Write a nice ReadMe for Milestone 1	https://github.com/PetPamper/PetPamper/issues/19	karinerafla	Done in "Sprint 3"	Sprint 3	Task	
Review others code, and improve style, logic and limit cases like password with more 8 caracters, email checker when sign up, phone Number country code etc	https://github.com/PetPamper/PetPamper/issues/15	chtidaba, Shinsaegae	Done in "Sprint 3"	Sprint 3	Task	
implement the groomer profile on figma asap	https://github.com/PetPamper/PetPamper/issues/29	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
implement the Map screen	https://github.com/PetPamper/PetPamper/issues/40	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
link up Google Maps SDK	https://github.com/PetPamper/PetPamper/issues/39	karinerafla	Done in "Sprint 4"	Sprint 4	Task	1h-2h
implement the navigation bar	https://github.com/PetPamper/PetPamper/issues/27	chtidaba	Done in "Sprint 4"	Sprint 4	Task	8h+ (Too long, shoud be broken down)
Implement the pet data class	https://github.com/PetPamper/PetPamper/issues/37	Chocolat2	Done in "Sprint 4"	Sprint 4	Task	2h-4h
A user can sign up as a groomer, (No figma provided yet, ok if it's not finished by milestone1 )	https://github.com/PetPamper/PetPamper/issues/41	Shinsaegae	Done in "Sprint 4"	Sprint 4	Task	8h+ (Too long, shoud be broken down)
change the pet pamper logo at launch	https://github.com/PetPamper/PetPamper/issues/46	chtidaba	Done in "Sprint 4"	Sprint 4	Task	<1h
Implement Groomer page with  review screen	https://github.com/PetPamper/PetPamper/issues/35	chtidaba	Done in "Sprint 4"	Sprint 4	Task	6h-8h
Implement the Groomer Data Class	https://github.com/PetPamper/PetPamper/issues/42	chtidaba	Done in "Sprint 4"	Sprint 4	Task	<1h
add edit profile button on profile and for profile pic	https://github.com/PetPamper/PetPamper/issues/62	karinerafla	Done in "Sprint 6"	Sprint 6	Task	2h-4h
figma for messages	https://github.com/PetPamper/PetPamper/issues/61	karinerafla	Done in "Sprint 6"	Sprint 6	Task	2h-4h
